hajagiree	हजगिरी
travellor	ट्रैवलर
artistitic	आर्टिस्टिक
gymnastic	जिमनास्टिक्स
fadil	फादिल
nayantara	नयनतारा
gailan	गैलन
beer	बीर
shreshtho	श्रेष्ठो
yular	युलर
medal	मेडल
champakli	चम्पकली
alleypee	अल्लेपी
aaj	आज
ka	का
hindustan	हिंदुस्तान
franceworth	फ्रैंसवर्थ
art	आर्ट
musuem	म्युज़ियम
shyamkant	श्यामकंठ
milford	मिल्फोर्ड
heaven	हैवन
amirna	एर्मिना
shachi	शचि
pol	पॉल
kolingwood	कोलिंगवुड
piyasra	पियर्स
bhinda	भिंडा
antarctica	अंटार्टिका
araafat	अराफात
chain	चाइना
finance	फ़ाइनेंस
online	ऑनलाइन
urupari	यूरूपरी
piyare	पियरे
thar	थार
dugaurti	दुर्गौती
guntur	गुंटूर
junction	जंक्शन
achanda	अचंदा
maina	मैना
hamari	हमारी
manjil	मंज़िल
maay	माय
love	लव
savera	सवेरा
university	यूनिवर्सिटी
off	ऑफ
te	द
sunshine	सनशाइन
coast	कोस्ट
datiya	दतिया
lawrence	लॉरेंस
oliver	ऑलीवर
lohitashav	लोहिताश्व
alma	अल्मा
goosey	गुप्ते
phakih	फकीह
mrudula	मृदुला
khaandaani	खानदानी
fort	फोर्ट
sain	सैन
philipaet	फिलीपेट
kaamyaab	कामयाब
phalnaa	फलना
stephen	स्टीफन
assembly	असेंब्ली
off	ऑफ
gods	गॉड्स
sen	सेन
murbi	मुरब्बी
sadak	सड़क
chap	छाप
eren	इरेने
ceramic	सिरमिलिक
bhagwan	भगवान
peel	पील
duniya	दुनिया
mary	मेरी
jeb	जेब
mai	में
baagaha	बागाहा
resiya	रेसिया
mutard	मुर्ताद
manbhavan	मनभावन
sir	सर
tairon	टायरॉन
bhak	भक्त
prahlad	प्रहलाद
kavkaab	कवकाब
esmi	एस्मी
badr	बद्र
al	अल
din	दीन
national	नेशनल
australia	ऑस्ट्रेलिया
john	जॉन
syns	सॉन्स
myusium	म्युज़ियम
afsara	अफसरा
daniyavan	दनियावान
bazaar	बाज़ार
mukhtar	मुख्तार
punjab	पंजाब
lymsars	लैंसर्स
seema	सीमा
bank	बैंक
chava	चावा
silviya	सिल्विया
eat	ईंट
ka	का
jawab	जवाब
patar	पत्थर
apna	अपना
bana	बना
lo	लो
shaun	शॉन
gref	ग्रेफ
vafi	वाफी
shuksurth	सुश्रुत
sharbjit	सरबजीत
david	डेविड
bernard	बरनार्ड
maharani	महारानी
jhansi	झाँसी
asucion	एसुसिआन
mike	माइक
dennes	डेनेस
koyna	कोयना
dam	डैम
kamlaj	कमलज
mart	मार्ट
holding	होल्डिंग
aruna	अरूणा
asaf	आसफ
ali	अली
kaitriyona	कैट्रीओना
sahab	साहब
beevi	बीवी
aur	और
gulam	गुलाम
jihuahuan	चिहूआहूअन
ouryuect	औयुइक्ट
khun	खून
kee	की
tucker	टक्कर
yashodha	यशोधा
deepesh	दीपेश
ahmedpur	अहमदपुर
junction	जंक्शन
idly	इडेली
university	यूनिवर्सिटी
of	ऑफ
lonkester	लैंकेस्टर
john	जॉन
megyur	मेग्यूर
pokaano	पॉकॉनो
lekros	लैक्रोस
banvaali	बनवाली
birbal	बिवर्ले
sills	सिल्स
abdul	अब्दुल
hakim	हाकिम
suketu	सुकेतु
bandhan	बंधन
kacche	कच्चे
alden	एल्डन
khalidah	खलिदाह
lankapati	लंकापति
shishirant	शिशिरांत
yuro	युरो
attala	अटाला
xerox	ज़ेरक्सेस
garaitpur	गेरतपुर
dung	डंग
saybil	सायबिल
dhaago	धागों
ka	का
beer	बीर
bikrom	बिक्रोम
chatrapur	छत्रपुर
sheshayi	शेषशायी
vood	वूड
buffalo	बफेलो
faizal	फैज़ल
abdul	अब्दुल
maalik	मालिक
dankan	डंकन
flechar	फ्लेचर
shyaam	श्याम
salam	सलाम
bombay	बॉम्बे
ikraar	इकरार
vandevi	वनदेवी
egleyya	एग्लेइया
gremi	ग्रैमी
sursakha	सुरसखा
kirkwood	कर्कवुड
daag	दाग
bainchi	बाइंची
apradhi	अपराधी
kaun	कौन
pibody	पीबॉडी
award	अवार्ड
nerd	नद्र
hum	हम
ek	एक
hain	हैं
vadvekar	वडवेकर
colorado	कोलोरॅडो
river	रिवर
damnikan	डॉमनिकन
marriage	मेरेंग्यू
luv	लव
and	एण्ड
mother	मर्डर
hall	हॉल
of	ऑफ
fame	फेम
award	अवार्ड
shapath	शपथ
keeli	कीली
anurag	अनुराग
binit	बिनिउ
kameshwar	कामेश्वर
rajnigandha	रजनीगंधा
tirukkannaankudi	तिरुक्कन्नानकुडी
meedo	मीडो
kairlin	कैर्लिन
sooryapriyaa	सूर्यप्रिया
yogeshvari	योगेश्वरी
monde	मोंडे
zondekee	ज़ोंडेकी
sanghol	संघोल
sent	सेंट
phraansis	फ्रांसिस
order	ऑडर
of	ऑफ
te	द
falkn	फैल्कन
harry	हैरी
s.	एस.
truman	ट्रूमेन
pleasure	आनंद
bhuilding	भवन
berhampur	बरहमपुर
diacici	ड‍िअस‍ीसी
high	हाई
school	स्कूल
takaa	टाका
bone	बोने
rate	रेट
honey	हनी
dudli	डुडली
amulya	अमूल्य
isi	इसी
daily	दैन‍िक
jugsnkha	जुगसंखा
wall	वॉल
mart	मार्ट
stores	स्टोर्स
fort	फोर्ट
meigs	मेग्स
hollington	हॉलिंगटन
wake	जागो
occured	हुआ
ka	का
naam	नाम
duniya	दुनिया
hai	है
kaidida	कैंडिडा
kavi	कवि
bhogada	भाँगड़ा
fort	फोर्ट
elis	एलिस
bharti	भारती
savera	सवेरा
jainism	जैनिज़्म
baavari	बावरी
gulaabpoora	गुलाबपुरा
laekkoniyaa	लेकोनिया
chandana	चन्दना
panna	पन्ना
ghaaso	घासो
paul	पॉल
vaulkkar	वॉल्कर
aakran	आर्कन
multiday	मटिल्डे
kargam	कर्गम
kurdusiya	कुद्दुसियाह
aachal	आँचल
kay	के
phool	फूल
do	दो
thahg	ठग
shaheen	शाहीन
aathlekar	आठलेकर
jainiya	जैनिया
jahangir	जहाँगीर
abaan	अबान
lloyd	लॉयडचिलीज़
nag	नाग
mani	मणि
histel	हिंस्डेल
preetish	प्रितिश
nandi	नंदी
ravij	रविज
martyr	शहीद
dayita	दयिता
plama	प्लामा
day	डे
mallorka	मल्लोर्का
andraias	आंद्रियास
thallium	थैलियम
great	ग्रेट
uk	ब्रिटेन
communication	कम्युनिकेशन
liyakat	लियाकत
sachche	सच्चे
kaa	का
bolbalaa	बोलबाला
registan	रेगिस्तान
kee	की
rani	रानी
wash	वश
eolind	इओलैंड
ghosipura	घोसीपुरा
tu	तू
nagin	नागिन
mein	मैं
sapera	सपेरा
vaghe	वझे
sidamhali	सिद्धामली
reservoir	रिज़रवायर
brukle	ब्रुक्ले
week	विक
gancier	गॉन्सियर
uris	यूरिस
university	यूनिवर्सिटी
off	ऑफ
brigten	ब्राइटन
nixi	निक्सी
aakash	आकाश
deep	दीप
dai	दैई
brush	ब्रुस
pollard	पोलार्ड
mujffarpur	मुज़फ़्फ़रपुर
bhojpur	भोजपुर
bangrapet	बंगरापेट
saip	सैप
india	इंडिया
atreya	अत्रेया
vajihah	वजीहाह
kairaah	कैराह
chakrapani	चक्रपाणि
pinnsulla	पेनिनसुला
danish	दानिश
aatank	आतंक
sharad	शरद
shatrumardan	शत्रुमर्दन
hats	हैट्स
russian	रशियन
war	वार
selena	सेलेना
laimisalah	लैमिसाह
juliet	जूलिएट
asahi	असाही
uranus	यूरेनस
winifred	विनिफ्रेड
jona	ज़ोना
garcha	गरचा
bare	बारे
wilmos	विल्मोस
nakli	नकली
nawab	नवाब
veeravrat	वीरव्रत
united	यूनाइटेड
technologies	टेक्नोलॉजीज़
absorbed	लीन
chandrasekhar	चंद्रशेखर
free	आज़ाद
university	यूनिवर्सिटी
of	ऑफ
glamorgan	ग्लेमॉर्गन
homhe	घर
aahir	आखिर
khar	घर
hi	है
jelaro	जेनेरो
saahni	साहनी
yavarat	एवरेट
bark	बक्र
naarth	नॉर्थ
douckodaa	डकोटा
elwin	एल्विन
vandan	वंदन
mayursikha	मयूरशिखा
hum	हम
entajaar	इंतज़ार
karenge	करेंगे
choupan	चोपन
denim	डेमिन
matin	मार्टिन
bren	बरेन
bajwa	बाजवा
fort	फोर्ट
delaware	डेलावेयर
rupesh	रूपेश
amalesh	अमलेश
story	कहानी
a	एक
thief	चोर
of	की
barasat	बारासात
hashim	हाशिम
amala	अम्ला
rajdrohi	राजद्रोही
linganmakki	लिंगनमक्की
daim	डैम
khurana	खुराना
brigston	ब्रिजस्टोन
ibrahim	इब्रहीम
gurudwara	गुरूद्वारा
makka	मक्का
madina	मदीना
shikawa	शिकवा
bhamini	भामिनी
nar	नर
narayan	नारायण
pyasi	प्यासी
nigahe	निगाहें
taranjeere	तरांजिरे
progressive	प्रोगेसिव
baptist	बैपटिस्ट
viveka	विवेका
fort	फोर्ट
monkatan	मॉन्कटन
karate	कराटे
badr	बद्र
dudhinhgar	दुधीनगर
university	यूनिवर्सिटी
off	ऑफ
narth	नार्थ
kairolina	कैरोलीना
surya	सूर्य
hum	हम
sab	सब
ustad	उस्ताद
hain	हैं
khwalah	खवलाह
rochak	रोचक
gurudwara	गुरूद्वारा
tahaliaana	टाहलीआणा
saheeb	साहिब
dandiya	डांडिया
mahaveer	महावीर
fort	फोर्ट
wardan	वॉर्डन
aurdar	ऑडर
auf	ऑफ
kraist	क्राइस्ट
jaydeep	जयदीप
shekhar	शेखर
guaraacha	गुआराचा
loharganj	लोहारगंज
heer	हीर
ranja	रांझा
sabz	सब्ज़
baag	बाग
bihar	बिहार
most	मोस्ट
valuable	वैल्युएबल
player	प्लेयर
award	अवार्ड
samarpan	समर्पण
jackway	जैक्वेस
kellis	कैलिस
kuintin	कुइंतिन
jalsa	जलसा
gurudwara	गुरूद्वारा
fatigad	फतिहगढ़
sahib	साहिब
major	मेजर
league	लीग
lecross	लैक्रोस
aathar	आथर
ali	अली
khan	खान
fauladi	फौलादी
mukka	मुक्का
aang	आंग
sang	सांग
su	सू
ki	की
merili	मैरिली
most	मोस्ट
improved	इम्प्रूव्ड
player	प्लेयर
of	ऑफ
te	द
year	ईयर
award	अवार्ड
kal	कल
kya	क्या
hoga	होगा
trinity	ट्रीनिटी
lutheran	लुथरेन
nuri	नूरी
osmium	ऑस्मियम
murshida	मुर्शिदा
angraj	अंगराज
complaint	फरियाद
eileen	एलीन
darrritola	दरीतोला
hilal	हिलाल
javani	जवानी
ki	की
bhul	भूल
umeshwar	उमेश्वर
altaaf	अल्ताफ
keli	केली
fort	फोर्ट
cartrigt	कार्टराइट
amduce	एमॅड्यूस
mozert	मोज़ार्ट
javani	जवानी
sainik	सैनिक
school	स्कूल
golpaara	गोलपारा
deesa	दीक्षा
ventisinko	वेंटिसिन्को
dee	डी
meyo	मेयो
naag	नाग
mohini	मोहिनी
father	बाप
daugter	बेटी
arpana	अर्पणा
budalur	बुदालुर
sirsa	सिरसा
sulwyn	सुल्विन
hubab	हुबाब
sailor	मल्लाह
uniqhue	अनोखी
paid	अदा
delila	डेलिला
mike	माइक
whitney	व्हिटने
debu	देबू
chaudhri	चौधरी
fort	फोर्ट
nathon	नैथन
hail	हेल
hode	होड
precision	प्रिस‍िज़न
slt	सल्त
bagutta	बगुटा
prize	प्राइज़
saint	संत
mamaji	मामाजी
fat	तक़दीर
te	के
king	बादशाह
chanpak	चंपक
gujarat	गुजरात
vaili	वैली
korvet	कॉरवेट
muzium	म्युज़ियम
vaar	वार
off	ऑफ
da	द
second	सेकंड
kolishan	कॉलिशन
abdul	अब्दुल
hakim	हकीम
alkali	अल्कली
mahaabalee	महाबली
hanuman	हनुमान
greem	ग्रीम
watson	वॉटसन
dhandari	धनदरी
kalam	कलां
quintana	क्वींटाना
maritime	मैरीटाइम
limited	लिमिटेड
paresh	परेश
nectar	अमृत
agniprv	अग्निप्रव
pavamaan	पवमान
mr	श्री
ofhficer	अधिकारी
order	ऑडर
of	ऑफ
industrial	इंडस्ट्रियल
merit	मेरिट
chitrani	चित्राणि
mohammad	मोहम्मद
haafiz	हफीज़
chitrali	चित्राली
trayna	ट्रायना
mail	मॅल
brukcs	ब्रुक्स
railway	रेल्वे
musuem	म्युज़ियम
of	ऑफ
te	द
muncipilaty	म्यून‍िस‍िपाल्टी
of	ऑफ
kalmata	कलमाटा
swain	स्वेन
ummyyah	उम्मय्याह
south	साउथ
korea	कोरिया
triliyam	ट्रिलियम
award	अवार्ड
pardi	पर्डी
beri	बेरी
ansorth	अनसोर्थ
robert	रॉबर्ट
wagonr	वॅगनर
kiski	किसकी
jeet	जीत
megana	मैग्ना
international	इंटरनेशनल
mithi	मीठी
sahni	सैनी
francisco	फ्रान्सिस्को
cornisoro	कॉर्निइरो
padam	पद्‍म
vibhusan	विभूषण
aakila	अकीला
delhi	डेल्ही
chakradhrpur	चक्रधरपुर
naim	नईम
ahmed	अहमद
nazar	नज़र
teri	तेरी
kasam	कसम
kaddi	कड्डी
indica	इंडिका
day	डे
saram	सारम
nivedita	निवेदिता
rad	रॉड
iland	आइलैंड
polish	पॉलिश
revoult	रिवॉल्ट
against	अगेंस्ट
king	किंग
agust	अगस्टस
ll	॥
gautam	गौतम
irfan	इरफान
murti	मूर्ति
kanade	कानडे
bread	ब्रैड
house	हॉज
swaben	स्वाबेन
moro	मौरो
mruganyani	मृगनयनी
saypras	सायप्रस
vembkottai	वेम्बकोत्ताई
reservoir	रिज़रवायर
chavapal	चवापल
fulki	फुलकी
cher	चेर
siyang	सियांग
shah	शाह
a	ए
iran	ईरान
janelle	जैनेल
mrinal	मृणाल
internet	इंटरनेट
gold	गोल्ड
golden	गोल्डन
emily	एमिली
post	पोस्ट
giath	गियाथ
liberace	लिब्रेस
pooranasinh	पूरनसिंह
chirai	चिरई
ossie	ओसी
hashan	हशन
tm	तिलकरत्ने
sundaram	सुंदरम
license	लाइन्स
babhanhan	बाभनन
andi	एण्डी
load	लॉएड
lyon	ल्येन
canyon	कॅन्योन
suspension	सस्पेंशन
soma	सोमा
gurudwara	गुरूद्वारा
naankamta	नानकमता
bahubali	बाहुबली
paise	पैसे
kee	की
gudiya	गुड़िया
mahindra	महिंद्रा
industries	इंडस्ट्रीज़
aaj	आज
kee	की
dunia	दुनिया
madem	मैडम
fasteners	फ़ास्टनर्स
essar	एस्सार
steel	स्टील
kaveri	कावेरी
khalid	खालिद
mohammed	महमूद
cliksoftware	क्लिकसॉफ़्टवेयर
technologing	टेक्नोलॉजीज़
chandorkar	चांदोरकर
elsi	एल्सी
japattata	ज़पाट्टा
chile	चिली
seenai	सिनाई
hilton	हिल्टन
group	ग्रुप
bhimashankar	भीमाशंकर
raja	राजा
gopichand	गोपीचंद
ratnali	रत्नाली
kafa	काफ़
jaydrian	ज़ेड्रियन
faizabad	फ़ैज़ाबाद
atmaha	अतमाह
tum	तुम
mere	मेरे
ho	हो
haathi	हाथी
mere	मेरे
saathi	साथी
munsilvar	मूनसिल्वर
hotee	होटी
premiyo	प्रेमियो
kaimos	कैमोस
zafeerah	ज़फीराह
abdal	अब्दुल
baseer	बसीर
damodar	दामोदर
binar	बैनर
adalin	एडलिन
abdul	अब्दुल
rajendra	राजेंद्र
university	यूनिवर्सिटी
oof	ऑफ
decide	टीसाइड
glenmark	ग्लैनमार्क
pharmaceuticals	फ़ार्मास्युटिकल्स
mela	मेला
arlan	अर्लेन
aacharyasuta	आचार्यसुता
drisdram	ट्रिस्ट्रम
stainer	स्टेनर
laser	लेज़र
limited	लिमिटेड
jeff	जेफ
duzon	डुजोन
madhav	माधव
travor	ट्रेवर
lafilan	लाफ्लिन
gavayan	ग्वायन
seema	सिमा
piyumakoka	प्युमाकोका
sereliya	सेरेलिया
vibhushand	विभूषण
menulife	मैन्युलाइफ़
financial	फ़ाइनेंशियल
nene	नेने
purani	पुरानी
haveli	हवेली
wasiyat	बासित
naval	नवल
chiplundkar	चिपलूणकर
kamna	कामना
guruduwara	गुरूद्वारा
bhatta	भट्टा
sahib	साहिब
sulek	सुलेक
pet	पेट
pyar	प्यार
statsi	स्टेसी
muni	मुनि
scotish	स्कॉट‍िश
church	चर्च
college	कॉलेज
calcutta	कैलकटा
taarik	तारीक
ajijz	अज़ीज़
kotal	कॉटल
aur	और
paap	पाप
athabaska	अथाबास्का
moscow	मॉस्को
crojer	क्रोजेर
mahijuba	महिजुबा
anurod	अनुरोध
goutmi	गौतमी
tum	तुम
par	पर
aadar	ऑडर
aaf	ऑफ़
william	विलियम
jonathan	जोनाथन
dasna	दसना
agaatha	अगाथा
kaare	कॉरे
kalimar	कॉलीमर
cross	क्रॉस
we	हम
qurban	क़ुर्बान
kiyedh	कियेध
balrampur	बलरामपुर
chinese	चीनी
university	यूनिवर्सिटी
of	ऑफ
kealey	कीले
bhlood	खून
bhlood	खून
country	कंट्री
shaayar	शायर
gowan	गैवान
ranjar	रॉजर
telemachus	टेलीमैचुस
demiya	डेमिया
daku	डाकू
mangal	मंगल
simha	सिंह
dinesh	दिनेश
mongiya	मोंगिया
tere	तेरे
bina	बिना
kya	क्या
jeena	जीना
amogha	अमोघा
cobra	कोबरा
girl	गर्ल
vinod	विनोद
order	ऑडर
of	ऑफ
benefisens	बेनेफिसेंस
rockford	रॉकफ़ोर्ड
astin	एश्टीन
urshita	उर्शिता
jenesa	जेनेसा
kuybaah	कुयबाह
drima	ड्रीमा
bihari	बिहारी
color	कलर
naya	नया
daur	दौर
aayushmaan	आयुष्मान
aamla	आमला
kolthekar	कोलथेकर
arnest	अर्नेस्ट
hemingve	हेमिंग्वे
satish	स‍तीश
gujraal	गुजराल
satyajit	सत्यजित
came	कैम
neelantha	निलंथा
ratnayake	रत्नायके
nabhan	नभन
badanapur	बदनापुर
dinesh	दिनेश
kartik	कार्तिक
basit	बसित
ali	अली
balram	बलराम
samarth	समर्थ
yunis	यूनिस
sanjula	संजुला
hotel	होटल
nottingam	नॉटिंगहॅम
ist	ईस्ट
midledress	मिडलैंड्‍स
ayoghyapati	अयोध्यापती
badhu	बंधु
maar	मार
anandmayi	आनंदमयी
bahkebihari	बांकेबिहारी
forever	फॉरएवर
madork	मर्डोक
university	यूनिवर्सिटी
umraah	उमराह
endriya	एन्ड्रीया
doriya	डोरिया
bidar	बिदर
aachryananda	आचार्यनंदना
achtion	धाड़
tosa	टोसा
diphu	दिपु
mohammed	मोहम्मद
zahid	ज़ाहिद
sanyo	सैन्यो
electric	इलेक्ट्रिक
his	अपना
alien	पराया
zeenat	ज़ीनत
fort	फोर्ट
kairal	कैरॉल
aandar	ऑडर
aaf	ऑफ
nakhimov	नखीमोव
gael	गेल
sirohi	सिरोही
golden	गोल्डन
temple	टेम्पल
duniya	दुनिया
horashiyo	होराशियो
chote	छोटे
nawab	नवाब
vrutti	वृत्ति
mekkile	मैककिले
trishtna	त्रिस्तना
fuji	फूजी
thorium	थोरियम
musfkar	मुश्फिकर
rahim	रहीम
goal	गोल
hai	है
gomantak	गोमंतक
times	टाइम्स
allstorm	आल्सटॉम
projects	प्रोजेक्ट्स
group	ग्रुप
arjun	ऑचन
hasmuk	हसमुख
anokhaa	अनोखा
daan	दान
simin	सीमीन
byejunkshankar	बाइजंक्शनर
hindustan	हिंदुस्तान
motors	मोटर्स
faidi	फैदी
bhabar	भाभर
kavesta	क्वेस्टा
thaisenkrup	थाइसेनकृप
sur	सुर
merkiya	मेर्किया
kanstalesan	कॉन्सटेलेशन
energy	एनर्जी
global	ग्लोबल
sorjez	सोर्सेज़
khushbakht	खुशबख्त
vidor	विडोर
barbertaan	बार्बेरटॉन
freyds	फ्रेंडस
phir	फिर
gayak	गायक
abdul	अब्दुल
vaddu	वदूद
insaph	इंसाफ
kee	की
aavaaj	आवाज़
barengar	बारनगर
parot	पिएरेटे
neterland	नीदरलैंड्‍स
deepbaali	दीपाबाली
aaya	आया
toofaan	तूफान
rohtak	रोहतक
gaanziyaah	ग़ाज़ियाह
phort	फोर्ट
amhazart	एमहर्स्ट
flory	फ्लोरी
zola	ज़ोला
democraty	डेमोक्रेटी
jems	जेम्स
aarambh	आरंभ
abraar	अबरार
rashk	रश्क
ae	ए
lola	लैला
record	रिकार्डो
panvel	पॉवेल
aag	आग
anhdhi	आँधी
aur	और
whitaker	व्हिटेकर
jangiri	ज़ागीरी
rojeen	रोज़ीन
hide	हाइड
ab	अब
toh	तो
jeene	जीने
do	दो
sonika	सोनिका
vaar	वार
tufan	तूफान
akansa	आकांक्षा
iaali	इआली
veerbhoom	वीरभूम
mukutdhar	मुकुटधर
elvin	एल्विन
kalicharan	कालीचरन
gruh	गृह
laxmi	लक्ष्मी
shahajahaan	शाहजहाँ
of	ऑफ
devolution	डिवॉल्यूशन
majaal	मजाल
varil	वेरिल
khalif	खली़क
nil	‍नील
simon	सिमॉन
bani	बनी
hop	हॉप
sanyukt	संयुक्ता
sampatthi	सम्पत्ति
simrit	सिमरित
jaggi	जग्गी
teynith	टेनिथ
mittan	मिट्टन
janaral	जनरल
electric	इलेक्ट्रिक
mainager	मैनेजर
satyanarayan	सत्यनारायण
dulip	दुलीप
pannagesh	पन्नागेश
vivek	विवेक
time	टाइम
warner	वॉर्नर
lakmipathy	लक्ष्मीपति
balaji	बालाजी
kusum	कुसुम
hakaido	हॉकाइडो
acharyanandan	आचार्यनंदन
savu	सावू
samraveera	सामरावीरा
mapto	मेपटो
rajkuvari	राजकुंवरी
jism	जिस्म
kaa	का
rista	रिश्ता
nevado	नेव्हाडो
d	डी
kolima	कोलीमा
bond	बॉन्ड
see	सी
haeeking	हाइकिंग
state	स्टेट
university	यूनिवर्सिटी
aanf	ऑफ
new	न्यू
yark	यॉर्क
fiveveon	फैवियन
bhatti	भट्टी
grahan	ग्रहण
mark	मार्क
burgess	बर्गेस
clutterbuckganj	क्लटरबकगंज
daurala	दौराला
gusun	ग़ुसन
fateh	फतेह
ashish	आशीष
camphor	कपूर
quota	कोटा
bwindi	बीविंडी
matsendra	मत्सेंद्र
steelman	स्टिलमैन
van	वेन
chit	चित
badagaav	बड़ागांव
bombay	बॉम्बे
ka	का
chor	चोर
saahir	साहिर
munsif	मुंसिफ
impanitrable	इम्पेनिट्रेबल
tarulata	तरुलता
pareeksha	परीक्षा
ghar	घर
pareyu	परेयु
aatik	आतिक
sorrento	सॉरेन्टो
ek	1
konrai	कौनराय
mavahib	मवाहिब
delhi	डेल्ही
newberg	न्यूबर्ग
christian	क्रिश्चियन
mitra	मित्रा
barbara	बारबरा
boxer	बॉक्सर
damangar	दामनगर
geroge	जॉर्ज
barnard	बर्नार्ड
show	शॉ
pumber	पम्बर
reservoir	रिज़रवायर
madan	मदन
laal	लाल
junius	जूनियस
kumkum	कुमकुम
te	द
dancer	डांसर
ashirwaad	आशीर्वाद
troposphere	ट्रोपोस्फीयर
nirgude	निरगुडे़
roti	रोटी
kapdaa	कपड़ा
aur	और
makam	मकान
kamar	कमर
fort	फोर्ट
mekenry	मैकहेनरी
everest	एवरेस्ट
industries	इंडस्ट्रीज़
sati	सती
narmada	नर्मदा
bleech	ब्लीच
mana	माना
pulse	पूल्स
kedar	केडार
mil	मिल
boybal	बायबल
bandhan	बंधन
banchong	बाँहों
peter	पीटर
christine	किर्स्टन
king	किंग
faizal	फैज़ल
foundation	फाउंडेशन
price	प्राइज़
anish	अनीश
kalista	कैलिस्ता
mabel	मबेल
dhoble	ढ़ोबले
ka	का
manjil	मंज़िल
manjil	मंज़िल
indra	इंद्र
sabha	सभा
bade	बड़े
bhadya	भइया
mavali	मवाली
age	आगे
ki	की
iren	इरेन
rushil	रुशिल
aarib	अरीब
madhyamum	मध्यामम
amiri	अमीरी
yasmin	यास्मिन
lakjar	लक्ज़र
sharangika	शारंगिका
lel	लेल
university	यूनिवर्सिटी
soch	सोच
osvald	ऑसवल्ड
weblon	वेब्लेन
prize	प्राइज़
in	इन
geometry	ज्योमेट्री
gwenlion	ग्वेनलियन
penganga	पेनगंगा
tara	तारा
vili	विली
off	ऑफ
barmingham	बर्मिंघम
aadmi	आदमी
siyana	सियाना
heera	हीरा
apna	अपना
desh	देश
paray	पराए
log	लोग
banke	बाँके
brown	ब्राउन
miss	मिस
manorma	मनोरमा
chelisya	चेल्सिया
aalamnagar	आलमनगर
sen	सैन
saba	साबा
tiyaara	टियारा
lovi	लोवी
nongkrem	नॉन्गक्रेम
shipahi	सिपाही
bal	बाल
yogi	योगी
erwin	इर्विन
bahira	बहिरा
sharafat	शराफत
erik	एरिक
najang	नंज‍िंग
museum	म्युज़ियम
abdul	अब्दुल
pathak	पाठक
yohan	योहन
gursekara	गूरसेकरा
balchandra	बालचंद्र
priketus	प्रिकेट्‍स
fort	फोर्ट
aberth	ऑबर्थ
gold	गोल्ड
parvarish	परवरिश
kinare	किनारे
gani	गनी
padmavati	पद्मावती
mufti	मुफ़्ती
meru	मेरु
betiri	बेतिरी
purity	शुचिता
onex	ऑनेक्स
luzon	लुज़ॉन
harda	हरदा
lhast	आखिरी
chik	चीख
vyadraahli	ब्यादराहली
west	वेस्ट
cost	कोस्ट
swing	स्विंग
first	फर्स्ट
soutern	साउदर्न
beptist	बैपटिस्ट
legos	लेगॉस
university	यूनिवर्सिटी
edge	किनारे
attack	वार
fayruz	फैरुज़
law	कानून
of	की
voice	आवाज़
ratnaparkhi	रत्नपारखी
arthur	आर्थर
haley	हॅले
chris	क्रिस
of	ऑफ
kate	केंट
hashid	हशीद
lucas	लुकास
dewon	डेवॉन
melkam	मैल्कम
tamburitz	तम्बुरिट्‍ज़ा
gangrar	गंग़्रार
aakhon	आँखों
dekhi	देखी
algar	अल्गर
hiss	हिस
chaina	चाइना
mobile	मोबाइल
communications	कम्यूनिकेशंस
indrajeet	इंद्रजीत
cosmo	कॉस्मो
films	फ़िल्म्स
igloo	एंग्लो
american	अमेरिकन
patthrhon	पत्थरों
kaa	का
soudagar	सौदागर
chandrabhan	चंद्रभान
premiyon	प्रेमियो
bainkaireyla	बैनकैरेला
neyviyoz	नैवियोज़
mayritime	मैरीटाइम
holdings	होल्डिंग्स
gems	जेम्स
anderson	एण्डरसन
ambrish	अंबरीश
jawahar	जवाहराह
modern	मॉडर्न
metriculation	मैट्रिक्युलेशन
school	स्कूल
cholvaram	चोल्वाराम
nagar	नगर
lou	लोउ
swatantra	स्वतंत्र
lamps	लम्प्स
fort	फोर्ट
rayith	साउथ
china	चायना
lokmat	लोकमत
vat	वतन
k	के
rakhwale	रखवाले
rajeshwari	राजेश्वरी
balreyan	बेलरेयान
royal	रॉयल
gorge	गॉर्ज
aaj	आज
ka	का
daur	दौर
family	फ़ैमिली
balaji	बालाजी
abdul	अब्दुल
mutaali	मुताअली
jeri	जेरी
dejso	देज़्सो
baijayanti	बैजयंती
viv	विव
richards	रिचर्ड्‍स
da	द
asam	असम
tribyoon	ट्रिब्यून
mirraa	मिर्रा
manjusha	मंजूषा
job	अय्यूब
blsamnd	बलसामंद
creeper	लता
national	नेशनल
medal	मेडल
of	ऑफ
science	साइंस
cape	केप
breton	ब्रेटन
leghislation	विधान
callwin	कॉल्व‍िन
talukdars	तालुकदार्स
college	कॉलेज
luchknow	लखनऊ
eeman	ईमान
dharam	धरम
da	द
carper	कार्पर
award	अवार्ड
faith	फ़ेथ
missionary	मिशनरी
baptist	बैपटिस्ट
warren	वारेन
community	कम्युनिटी
mount	माउंट
revelstoke	रिवेलस्टोक
girindra	गिरींद्र
baghel	बघेल
rasbihari	रासबिहारी
fort	फोर्ट
nelson	नेल्सन
rajasthan	राजस्थान
patrika	पत्रिका
son	सन
trust	ट्रस्ट
plaza	प्लाज़ा
adimurty	आदिमूर्ति
ratnamala	रत्नमाला
fort	फोर्ट
macon	मैकन
shame	लज्जा
twilight	सांझ
morning	सवेरा
